language,sentence,n,rand_edgelist,root
Japanese,2,23,"[(14, 8), (4, 6), (2, 20), (3, 5), (13, 19), (9, 15), (10, 11), (15, 12), (1, 19), (2, 23), (22, 1), (16, 7), (17, 16), (21, 10), (12, 8), (13, 18), (20, 15), (6, 2), (3, 14), (18, 9), (17, 10), (19, 21)]",10
Japanese,5,18,"[(4, 14), (6, 3), (12, 17), (2, 1), (10, 5), (6, 1), (6, 7), (8, 14), (15, 11), (5, 4), (5, 15), (8, 9), (17, 6), (16, 7), (10, 13), (18, 16), (7, 11)]",10
Japanese,8,33,"[(21, 11), (1, 28), (9, 19), (5, 11), (9, 7), (7, 31), (30, 7), (25, 30), (15, 13), (32, 12), (24, 13), (15, 6), (11, 19), (27, 29), (2, 14), (20, 19), (16, 6), (2, 10), (31, 6), (4, 2), (26, 12), (16, 4), (6, 3), (7, 17), (3, 26), (18, 24), (1, 25), (22, 15), (8, 19), (29, 22), (11, 23), (33, 19)]",3
Japanese,11,30,"[(15, 28), (6, 26), (18, 15), (19, 22), (11, 30), (13, 23), (4, 9), (17, 9), (14, 24), (27, 16), (18, 25), (26, 8), (3, 7), (17, 20), (4, 10), (29, 22), (23, 19), (25, 22), (12, 7), (2, 11), (30, 1), (10, 13), (25, 12), (5, 8), (21, 3), (14, 21), (27, 7), (30, 10), (6, 12)]",30
Japanese,12,19,"[(2, 6), (2, 11), (15, 4), (3, 12), (18, 1), (4, 14), (2, 3), (16, 19), (17, 6), (2, 16), (7, 1), (5, 4), (1, 8), (14, 12), (9, 11), (1, 17), (4, 10), (13, 19)]",11
Japanese,14,29,"[(2, 6), (8, 7), (27, 8), (17, 3), (28, 21), (29, 23), (22, 20), (13, 19), (7, 17), (28, 2), (10, 7), (28, 1), (20, 9), (19, 4), (14, 9), (25, 24), (17, 24), (3, 26), (18, 23), (10, 16), (12, 28), (14, 5), (16, 15), (6, 25), (11, 28), (4, 22), (28, 18), (4, 3)]",6
Japanese,16,19,"[(4, 17), (19, 14), (18, 6), (11, 5), (16, 8), (11, 13), (10, 2), (12, 1), (1, 2), (13, 15), (10, 6), (16, 15), (10, 14), (2, 5), (3, 12), (9, 4), (13, 17), (7, 19)]",14
Japanese,21,19,"[(5, 12), (2, 16), (14, 9), (7, 16), (14, 18), (17, 3), (13, 1), (3, 4), (7, 8), (13, 6), (19, 18), (6, 19), (12, 15), (10, 9), (11, 15), (5, 6), (17, 2), (15, 3)]",18
Japanese,25,19,"[(2, 3), (4, 18), (1, 16), (2, 17), (13, 18), (7, 9), (15, 9), (1, 17), (6, 11), (10, 8), (12, 3), (14, 19), (13, 5), (10, 18), (7, 4), (18, 11), (19, 7), (7, 16)]",7
Japanese,26,23,"[(19, 21), (10, 4), (7, 3), (17, 8), (2, 7), (1, 10), (9, 14), (6, 19), (10, 16), (7, 22), (11, 4), (8, 23), (9, 18), (12, 3), (14, 7), (2, 10), (13, 18), (7, 17), (22, 15), (5, 6), (13, 21), (16, 20)]",3
Japanese,27,38,"[(10, 14), (27, 9), (2, 29), (33, 17), (18, 25), (20, 27), (16, 8), (18, 36), (4, 16), (23, 19), (14, 3), (22, 38), (12, 14), (1, 2), (5, 30), (13, 34), (22, 10), (38, 21), (7, 6), (24, 15), (20, 35), (26, 28), (29, 9), (17, 12), (14, 9), (1, 34), (13, 4), (37, 18), (7, 36), (31, 23), (7, 28), (15, 11), (35, 24), (23, 30), (19, 32), (6, 3), (5, 21)]",28
Japanese,29,20,"[(10, 6), (4, 17), (9, 18), (8, 15), (7, 10), (2, 1), (5, 3), (12, 14), (18, 13), (16, 4), (4, 8), (18, 6), (18, 3), (6, 14), (11, 15), (5, 19), (16, 20), (16, 13), (19, 2)]",4
Japanese,30,45,"[(11, 42), (24, 3), (12, 16), (7, 18), (10, 34), (13, 38), (19, 41), (45, 36), (29, 15), (24, 10), (37, 14), (32, 28), (14, 40), (21, 2), (10, 42), (30, 1), (1, 22), (37, 20), (23, 20), (28, 15), (26, 11), (17, 43), (39, 22), (16, 33), (26, 12), (32, 39), (22, 17), (2, 23), (36, 20), (43, 33), (10, 40), (15, 8), (27, 36), (35, 25), (9, 3), (44, 2), (19, 31), (4, 34), (6, 45), (34, 7), (30, 5), (31, 13), (38, 10), (33, 35)]",7
Japanese,31,24,"[(24, 2), (4, 12), (5, 9), (13, 5), (4, 17), (7, 21), (23, 11), (21, 23), (18, 22), (14, 1), (13, 10), (16, 22), (7, 1), (21, 9), (23, 8), (3, 2), (24, 11), (1, 6), (21, 20), (3, 15), (23, 18), (22, 19), (21, 17)]",8
Japanese,33,23,"[(1, 9), (16, 18), (5, 2), (10, 15), (3, 1), (13, 4), (2, 20), (17, 12), (17, 22), (3, 13), (15, 9), (3, 12), (22, 23), (17, 5), (21, 6), (11, 8), (23, 7), (10, 8), (14, 6), (18, 19), (20, 14), (19, 14)]",13
Japanese,35,29,"[(12, 14), (8, 11), (17, 1), (10, 25), (8, 16), (27, 5), (21, 16), (26, 21), (26, 17), (15, 24), (4, 1), (23, 5), (29, 6), (16, 18), (25, 13), (13, 19), (6, 25), (5, 20), (25, 18), (12, 17), (3, 14), (16, 23), (6, 15), (28, 22), (28, 12), (9, 4), (7, 11), (1, 2)]",5
Japanese,37,30,"[(12, 5), (20, 24), (25, 28), (19, 5), (15, 9), (23, 21), (11, 1), (3, 16), (1, 17), (8, 2), (7, 11), (24, 26), (15, 27), (29, 9), (14, 22), (16, 13), (4, 29), (18, 3), (10, 25), (17, 20), (12, 30), (21, 5), (23, 13), (5, 27), (12, 6), (28, 19), (4, 17), (2, 7), (14, 10)]",23
Japanese,38,11,"[(10, 8), (6, 10), (4, 6), (4, 9), (3, 10), (8, 5), (1, 11), (1, 7), (7, 2), (11, 3)]",6
Japanese,40,16,"[(8, 13), (6, 1), (5, 6), (6, 16), (7, 6), (2, 14), (8, 3), (12, 11), (11, 2), (15, 13), (14, 9), (8, 12), (10, 3), (16, 15), (4, 5)]",3
Japanese,43,23,"[(12, 20), (21, 15), (2, 9), (2, 7), (3, 1), (17, 14), (6, 23), (1, 11), (20, 18), (23, 15), (5, 2), (4, 12), (5, 13), (14, 19), (14, 9), (8, 13), (17, 10), (22, 2), (14, 3), (23, 16), (14, 16), (18, 14)]",3
Japanese,45,39,"[(2, 19), (29, 35), (1, 28), (23, 25), (31, 18), (16, 8), (25, 32), (4, 3), (31, 9), (37, 20), (11, 17), (34, 5), (14, 38), (25, 4), (28, 37), (33, 39), (22, 8), (36, 13), (6, 10), (9, 14), (37, 24), (30, 20), (19, 21), (25, 13), (23, 21), (12, 32), (27, 10), (25, 39), (37, 17), (30, 5), (24, 26), (10, 7), (34, 32), (16, 15), (1, 15), (4, 29), (37, 27), (10, 31)]",17
Japanese,46,34,"[(25, 17), (7, 17), (4, 28), (15, 10), (8, 15), (2, 31), (33, 14), (8, 3), (16, 1), (18, 30), (14, 9), (22, 23), (32, 28), (6, 29), (19, 13), (5, 23), (17, 16), (17, 20), (23, 11), (17, 12), (25, 32), (34, 29), (18, 26), (33, 23), (31, 26), (20, 27), (14, 19), (8, 14), (30, 34), (24, 17), (31, 19), (12, 15), (10, 21)]",18
Japanese,47,25,"[(20, 2), (9, 15), (1, 8), (9, 1), (10, 16), (25, 10), (24, 12), (5, 8), (18, 23), (21, 22), (11, 25), (7, 8), (19, 13), (3, 17), (24, 2), (4, 16), (1, 22), (15, 14), (5, 12), (14, 19), (6, 23), (4, 21), (1, 3), (18, 20)]",2
Japanese,48,36,"[(35, 3), (10, 31), (6, 32), (27, 35), (19, 1), (21, 12), (20, 18), (26, 14), (5, 10), (32, 26), (2, 15), (34, 20), (16, 36), (4, 15), (12, 3), (19, 2), (36, 29), (10, 33), (36, 22), (9, 36), (24, 12), (31, 18), (30, 8), (23, 36), (11, 30), (17, 36), (17, 14), (7, 14), (19, 28), (27, 33), (11, 35), (34, 2), (1, 26), (25, 30), (13, 34)]",34
Japanese,49,30,"[(3, 1), (1, 24), (11, 22), (24, 4), (5, 9), (13, 12), (21, 10), (20, 3), (9, 2), (8, 15), (16, 17), (8, 21), (28, 27), (8, 14), (27, 10), (21, 12), (7, 30), (3, 26), (19, 29), (18, 13), (16, 22), (7, 23), (5, 25), (15, 7), (6, 25), (23, 11), (19, 15), (10, 4), (18, 5)]",27
Japanese,51,21,"[(10, 12), (11, 21), (19, 14), (5, 17), (20, 4), (3, 7), (1, 3), (12, 9), (21, 14), (17, 4), (10, 13), (19, 6), (15, 7), (18, 9), (6, 20), (5, 2), (12, 1), (19, 18), (21, 8), (2, 16)]",6
Japanese,57,51,"[(12, 17), (6, 5), (15, 45), (26, 29), (9, 4), (26, 50), (43, 7), (7, 35), (30, 42), (10, 23), (36, 34), (32, 14), (25, 44), (21, 30), (1, 13), (16, 26), (13, 40), (35, 37), (49, 35), (30, 27), (3, 23), (35, 48), (10, 11), (16, 31), (39, 12), (19, 46), (30, 31), (51, 42), (5, 21), (50, 8), (43, 47), (32, 45), (35, 18), (41, 14), (20, 25), (32, 4), (35, 20), (24, 40), (43, 22), (1, 36), (26, 48), (46, 28), (34, 38), (12, 27), (35, 2), (28, 33), (38, 33), (19, 3), (41, 49), (3, 8)]",42
